DBpedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBpedia_Company_127,http://dbpedia.org/resource/Atlantic_Television,"Manhattan, New York City,;;New York",United States,http://dbpedia.org/resource/Douglas_Propp;;http://dbpedia.org/resource/Howard_Gibbins,1997,http://dbpedia.org/resource/Television;;http://dbpedia.org/resource/Video_production,,,
DBpedia_Company_128,"http://dbpedia.org/resource/Nautilus,_Inc.",,,,1986,,2.19E+08,311,
DBpedia_Company_129,http://dbpedia.org/resource/Taodue,,,,,,,,
DBpedia_Company_130,http://dbpedia.org/resource/Trondhjems_mekaniske_V%C3%A6rksted,,,http://dbpedia.org/resource/Sophus_Weidemann,,,,,
DBpedia_Company_131,http://dbpedia.org/resource/Charles_Creek_Vineyard,Sonoma,United States,"Bill Brinton & Gerry Brinton, Proprietors, Kerry Damskey, Winemaker",,,,,
DBpedia_Company_132,http://dbpedia.org/resource/Oakleaf_Brewery,,,,2000,http://dbpedia.org/resource/Alcoholic_beverage,,,
DBpedia_Company_133,http://dbpedia.org/resource/Auteco,,,,1941,,,,
DBpedia_Company_134,http://dbpedia.org/resource/Pregis,"http://dbpedia.org/resource/Deerfield,_Illinois",USA,Børge Kvamme;;Fernando de Miguel;;Jeff Kellar;;Keith LaVanway;;Kevin Baudhuin;;Mr. Glenn M. Fischer,,http://dbpedia.org/resource/Packaging_and_labeling,,4200,
DBpedia_Company_135,http://dbpedia.org/resource/Global_Media_Group,,,"Daniel Proença de Carvalho , Luis Montez, Rolando Oliveira, Jorge Carreira, Vítor Ribeiro, José Carlos Lourenço.",2005,http://dbpedia.org/resource/Printing;;http://dbpedia.org/resource/Radio_broadcasting;;http://dbpedia.org/resource/Telecommunication,,,
DBpedia_Company_136,http://dbpedia.org/resource/Jimmy_John's,"http://dbpedia.org/resource/Champaign,_Illinois;;http://dbpedia.org/resource/Illinois",United States,,1983,,,,
DBpedia_Company_137,http://dbpedia.org/resource/Higher_State,,,,1992,,,,
DBpedia_Company_138,http://dbpedia.org/resource/Seiki_Digital,,,,,,,,
DBpedia_Company_139,http://dbpedia.org/resource/Szybka_Kolej_Miejska_(Warsaw),,,(CEO);;http://dbpedia.org/resource/Leszek_Walczak,2004,http://dbpedia.org/resource/Rail_transport,,,
DBpedia_Company_140,http://dbpedia.org/resource/T%C3%9CDEMSA%C5%9E,http://dbpedia.org/resource/Sivas,http://dbpedia.org/resource/Turkey,Halil Torun,,,,,
DBpedia_Company_141,http://dbpedia.org/resource/Bridge_US,,,,2012,,,,
DBpedia_Company_142,http://dbpedia.org/resource/Highlights_for_Children,,,,,,,,
DBpedia_Company_143,http://dbpedia.org/resource/Ellipse_Studios,,,,,,,,
DBpedia_Company_144,http://dbpedia.org/resource/Metreos,"http://dbpedia.org/resource/Austin,_Texas;;http://dbpedia.org/resource/Texas",United States,Adam Takvam;;Ben Alves;;David Wilson;;Joel Fontenot;;Louis Marascio;;Vaughan Stanford,2001,http://dbpedia.org/resource/Software;;http://dbpedia.org/resource/Voice_over_IP,,,
DBpedia_Company_145,http://dbpedia.org/resource/New_Zealand_Loan_and_Mercantile_Agency_Company,,,,1865,http://dbpedia.org/resource/Commerce,,,
DBpedia_Company_146,http://dbpedia.org/resource/Rare_Coin_Wholesalers,,,President;;Steve Contursi,,,,,
DBpedia_Company_147,http://dbpedia.org/resource/AXA_PPP_healthcare,,,"Keith George Gibbs, Chief Executive",1938,http://dbpedia.org/resource/Health_care,,,
DBpedia_Company_148,"http://dbpedia.org/resource/Battery_Commercial,_Inc.",,,,1996,http://dbpedia.org/resource/Privately_held_company,,,
DBpedia_Company_149,http://dbpedia.org/resource/Advanced_Cyclotron_Systems,"http://dbpedia.org/resource/Richmond,_British_Columbia",http://dbpedia.org/resource/Canada,Richard Eppich,,http://dbpedia.org/resource/Particle_accelerator,,,
DBpedia_Company_150,http://dbpedia.org/resource/Instituto_Nacional_de_T%C3%A9cnica_Aeroespacial,,,,,,,,
DBpedia_Company_151,http://dbpedia.org/resource/Alpha_Books,,,,1991,,,,
DBpedia_Company_152,http://dbpedia.org/resource/Pop_Art_Records,,,,,,,,
DBpedia_Company_153,http://dbpedia.org/resource/Lifetime_Entertainment_Services,New York City,USA,,1984,,,,
DBpedia_Company_154,http://dbpedia.org/resource/NewKidCo,,,,,,,,
DBpedia_Company_155,http://dbpedia.org/resource/American_Airlines,,,"* Doug Parker 
* Scott Kirby",,http://dbpedia.org/resource/Aviation,2.67E+10,,
DBpedia_Company_156,http://dbpedia.org/resource/Golden_Gryphon_Press,,,,1996,,,,
DBpedia_Company_157,http://dbpedia.org/resource/Alfa_System,,,,1988,http://dbpedia.org/resource/Video_game_industry,,64,
DBpedia_Company_158,http://dbpedia.org/resource/Novagen_Software,http://dbpedia.org/resource/Birmingham,http://dbpedia.org/resource/United_Kingdom,,,http://dbpedia.org/resource/Video_game_industry,,,
DBpedia_Company_159,http://dbpedia.org/resource/Mamamusic,,,,1990,,,,
DBpedia_Company_160,http://dbpedia.org/resource/Cfactor_Works,,,,,http://dbpedia.org/resource/Software_as_a_service,,51,
DBpedia_Company_161,http://dbpedia.org/resource/Bangkok_Bank,333,Thailand,Chartsiri Sophonpanich,1944,,1.35E+11,22934,2596
DBpedia_Company_162,http://dbpedia.org/resource/Western_Power_Corporation,Perth,Australia,,1995,,,,
DBpedia_Company_163,http://dbpedia.org/resource/Welltech,http://dbpedia.org/resource/Aller%C3%B8d_Municipality,http://dbpedia.org/resource/Denmark,"Jørgen Hallundbæk  ,",1994,,2.00E+09,,
DBpedia_Company_164,http://dbpedia.org/resource/Ecoult,,,"John Wood 
Brian McKeon  
Tze Masters",2007,http://dbpedia.org/resource/Energy_storage,,,
DBpedia_Company_165,http://dbpedia.org/resource/Contiloe_Entertainment,,http://dbpedia.org/resource/India;;http://dbpedia.org/resource/Mumbai,,1995,,,,
DBpedia_Company_166,http://dbpedia.org/resource/Universal_Motown_Republic_Group,,,,1999,,,,
DBpedia_Company_167,http://dbpedia.org/resource/Obelisk_Press,,,,,,,,
DBpedia_Company_168,http://dbpedia.org/resource/V.M.L._Records,,,,,,,,
DBpedia_Company_169,http://dbpedia.org/resource/United_Continental_Holdings,http://dbpedia.org/resource/Chicago;;http://dbpedia.org/resource/Chicago_Loop;;http://dbpedia.org/resource/Illinois;;http://dbpedia.org/resource/Willis_Tower,http://dbpedia.org/resource/United_States,Jeffery A. Smisek  Glenn Tilton,2010,http://dbpedia.org/resource/Aviation,3.72E+10,87867,3.76E+10
DBpedia_Company_170,http://dbpedia.org/resource/Rosewood_Hotels_&_Resorts,,,"Radha Arora, President<br, Luxury hotels",1979,,,,
